Subconjunto,Variable categorica,Método,MSE Entrenamiento,R2 Entrenamiento,MSE Prueba,R2 Prueba
Completo,Ninguna,Regresión lineal,0.010386089609081047,0.8432298183365917,0.010287034073273622,0.8489155147447582
Completo,País,Regresión lineal,5.057240874927137e-29,1.0,1.1333725696050225e-27,1.0
Entrenado desde 1996 hasta 2002,País,Regresión lineal,8.023211995096788e-30,1.0,3.0675739620459872e-28,1.0
Predicción desde 2003 en adelante,País,Regresión lineal,8.023211995096788e-30,1.0,1.1333725696050225e-27,1.0
Completo,Ninguna,Random forest,0.005886592103564052,0.9111463362835579,0.006227833561901527,0.006227833561901527
Completo,País,Random forest,0.002436389680070357,0.9603753804744822,0.007745506181891413,0.8846786007600638
